tj_pathway,class_year,pathway_nmsf_count_covered,pathway_grade11_enrollment_covered,pathway_nmsf_per_100_juniors_covered,pathway_operating_school_rows,pathway_compatible_school_rows,pathway_missing_nmsf_school_rows,pathway_missing_enrollment_school_rows,pathway_incompatible_school_rows,pathway_coverage_status,pathway_has_complete_compatible_coverage,pathway_interpretation_note
FCPS Region 4,2020,14,3089,0.453221,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2021,13,3155,0.412044,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2022,5,3224,0.155087,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2023,11,3226,0.340980,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2024,9,3163,0.284540,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2025,19,3215,0.590980,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2026,14,3362,0.416419,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2019,17,2626,0.647372,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2020,29,2570,1.128405,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2021,11,2562,0.429352,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2022,20,2661,0.751597,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2023,23,2513,0.915241,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2024,33,2701,1.221770,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2025,23,2568,0.895639,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 5,2026,36,2744,1.311953,4,4,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2019,,,,16,0,16,9,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2020,,,,16,0,16,16,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2021,,,,16,0,16,8,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2022,,,,16,0,16,16,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2023,12,968,1.239669,16,10,0,6,6,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2024,,,,16,0,0,16,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2025,16,986,1.622718,16,10,0,6,6,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Private/homeschool unallocated,2026,,,,16,0,0,16,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
